Time (h),Ct1 Clear,Ct1 5cm,Ct1 20cm,Ct2 Clear,Ct2 5cm,Ct2 20cm
0,1000000,1000000,1000000,1000000,1000000,1000000
0.75,,547323.127587941,680310.384129047,,427843.265171708,724747.957348342
1,124572.849876906,,,124242.476640091,,
1.5,,191599.336145909,434275.771005791,,163016.250572439,491827.603977672
2,23632.9534751967,,,28479.8042537738,,
2.25,,66699.2575995024,267168.775509554,,60215.5974896074,224766.301820444
3,2364.27505448768,21358.0697267647,123072.776977687,3703.73580494049,15289.2787968066,112632.54568239
4,472.99222292394,4481.98088500142,69507.0729364707,569.997564484227,3151.41791835128,33667.6652164115
